subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,la_periods
2023-JSS014-Kidato II,Demonstrate mastery of English language skills,Produce short and coherent oral messages with intelligible pronunciation and fluency,"Use cohesive devices to deliver oral presentations of events (e.g., first of all, moreover, but, however, yet, in contrast, although, otherwise, still, on the contrary, on the other hand)",8
2023-JSS014-Kidato II,Demonstrate mastery of English language skills,Develop vocabulary from conversations and written texts,Recognise words with opposite meanings from conversations and written texts,7
2023-JSS014-Kidato II,Demonstrate mastery of English language skills,Develop vocabulary from conversations and written texts,"Use words from conversations and written texts to produce new vocabulary by attaching suffixes and prefixes (e.g., kind-unkind; slow-slowly)",6
2023-JSS014-Kidato II,Demonstrate mastery of English language skills,Use appropriate grammar and vocabulary in oral and in written language tasks,Produce contextualised oral and written descriptions based on personal experience,8
2023-JSS014-Kidato II,Demonstrate mastery of English language skills,Use appropriate grammar and vocabulary in oral and in written language tasks,"Compose passages on specific contexts (structure: tenses –past progressive, present perfect, past perfect, present progressive, adjectives, adverbs, coordinators, prepositions, determiners, conjunctions)",8
2023-JSS014-Kidato II,Demonstrate mastery of English language skills,Use appropriate grammar and vocabulary in oral and in written language tasks,Present messages in formal discussions on various issues using correct grammar and vocabulary,7
2023-JSS014-Kidato II,Comprehend oral and written information,Read texts for comprehension,Express the main ideas from a text,4
2023-JSS014-Kidato II,Comprehend oral and written information,Read texts for comprehension,Infer meanings of unfamiliar words and idiomatic expressions from a given text,4
2023-JSS014-Kidato II,Comprehend oral and written information,Read texts for comprehension,Relate the core messages from a text to real life experiences,3
2023-JSS014-Kidato II,Comprehend oral and written information,Comprehend oral messages with increasing difficulty,Synthesise ideas from a variety of oral sources,6
2023-JSS014-Kidato II,Comprehend oral and written information,Comprehend oral messages with increasing difficulty,Summarise information from a variety of oral sources,5
2023-JSS014-Kidato II,Comprehend oral and written information,Comprehend oral messages with increasing difficulty,Participate in contextualised oral conversations,5
2023-JSS014-Kidato II,Comprehend oral and written information,Respond appropriately in a variety of oral and written communication contexts,"Express ideas and opinions in different group communicative settings (differing, counter-arguing, supporting ideas)",5
2023-JSS014-Kidato II,Comprehend oral and written information,Respond appropriately in a variety of oral and written communication contexts,Use appropriate non-verbal cues in group communication,4
2023-JSS014-Kidato II,Comprehend oral and written information,Respond appropriately in a variety of oral and written communication contexts,"Use appropriate language to respond to messages in online group communicative contexts (e.g., WhatsApp, Telegram)",4
2023-JSS014-Kidato II,Communicate effectively in different contexts,Use appropriate grammar and vocabulary for oral communication in a variety of contexts,"Describe various locations (structure: prepositions, adjectives, adverbs)",4
2023-JSS014-Kidato II,Communicate effectively in different contexts,Use appropriate grammar and vocabulary for oral communication in a variety of contexts,"Express quality and quantity of objects and living organisms (structure: adjectives, quantifiers, adverbs)",4
